"cowcode","stateabb","statename","ethnicity_relevant","year_from","year_to","group_name","size","status","warid","warid2","groupid","cowgroupid","markertype","serialid"
"345","YUG","Yugoslavia","Yes","1993","1999","Roma","0.014","DISCRIMINATED",,,"12000","34512000","Ethno-Cultural","387"
"345","YUG","Yugoslavia","Yes","2000","2005","Serbs","0.62","SENIOR PARTNER",,,"1000","34501000","Ethno-Religious","388"
"345","YUG","Yugoslavia","Yes","2000","2005","Albanians","0.17","REGIONAL AUTONOMY",,,"6000","34506000","Ethno-Linguistic","389"
"345","YUG","Yugoslavia","Yes","2000","2005","Montenegrins","0.05","JUNIOR PARTNER",,,"9000","34509000","Ethno-Regional","390"
"345","YUG","Yugoslavia","Yes","2000","2005","Hungarians","0.03","REGIONAL AUTONOMY",,,"11000","34511000","Ethno-Linguistic","391"
"345","YUG","Yugoslavia","Yes","2000","2005","Bosniaks/Muslims","0.03","REGIONAL AUTONOMY",,,"4000","34504000","Ethno-Religious","392"
"345","YUG","Yugoslavia","Yes","2000","2005","Croats","0.01","REGIONAL AUTONOMY",,,"2000","34502000","Ethno-Religious","393"
"345","YUG","Yugoslavia","Yes","2000","2005","Roma","0.014","DISCRIMINATED",,,"12000","34512000","Ethno-Cultural","394"
"345","YUG","Yugoslavia","Yes","2006","2007","Serbs","0.68","SENIOR PARTNER",,,"1000","34501000","Ethno-Religious","395"
"345","YUG","Yugoslavia","Yes","2006","2007","Albanians","0.17","REGIONAL AUTONOMY",,,"6000","34506000","Ethno-Linguistic","396"
"345","YUG","Yugoslavia","Yes","2006","2007","Montenegrins","0.009","POWERLESS",,,"9000","34509000","Ethno-Regional","397"
"345","YUG","Yugoslavia","Yes","2006","2007","Hungarians","0.032","REGIONAL AUTONOMY",,,"11000","34511000","Ethno-Linguistic","398"
"345","YUG","Yugoslavia","Yes","2006","2007","Bosniaks/Muslims","0.02","REGIONAL AUTONOMY",,,"4000","34504000","Ethno-Religious","399"
"345","YUG","Yugoslavia","Yes","2006","2007","Croats","0.01","REGIONAL AUTONOMY",,,"2000","34502000","Ethno-Religious","400"
"345","YUG","Yugoslavia","Yes","2006","2007","Roma","0.014","DISCRIMINATED",,,"12000","34512000","Ethno-Cultural","401"
"345","YUG","Yugoslavia","Yes","2008","2010","Serbs","0.83","DOMINANT",,,"1000","34501000","Ethno-Religious","402"
"345","YUG","Yugoslavia","Yes","2008","2010","Albanians","0.0082","POWERLESS",,,"6000","34506000","Ethno-Linguistic","403"
"345","YUG","Yugoslavia","Yes","2008","2010","Montenegrins","0.009","POWERLESS",,,"9000","34509000","Ethno-Regional","404"
"345","YUG","Yugoslavia","Yes","2008","2010","Hungarians","0.039","REGIONAL AUTONOMY",,,"11000","34511000","Ethno-Linguistic","405"
"345","YUG","Yugoslavia","Yes","2008","2010","Bosniaks/Muslims","0.018","REGIONAL AUTONOMY",,,"4000","34504000","Ethno-Religious","406"
"345","YUG","Yugoslavia","Yes","2008","2010","Croats","0.01","REGIONAL AUTONOMY",,,"2000","34502000","Ethno-Religious","407"
"345","YUG","Yugoslavia","Yes","2008","2010","Roma","0.014","DISCRIMINATED",,,"12000","34512000","Ethno-Cultural","408"
"346","BOS","Bosnia and Herzegovina","Yes","1992","1995","Bosniaks/Muslims","0.437","SENIOR PARTNER",,,"1000","34601000","Ethno-Religious","409"
"346","BOS","Bosnia and Herzegovina","Yes","1992","1995","Serbs","0.313","SEPARATIST AUTONOMY","29600",,"2000","34602000","Ethno-Religious","410"
"346","BOS","Bosnia and Herzegovina","Yes","1992","1995","Croats","0.173","JUNIOR PARTNER","30500",,"3000","34603000","Ethno-Religious","411"
"346","BOS","Bosnia and Herzegovina","Yes","1992","1995","Roma","0.01","DISCRIMINATED",,,"4000","34604000","Ethno-Cultural","412"
"346","BOS","Bosnia and Herzegovina","Yes","1996","2010","Bosniaks/Muslims","0.47","SENIOR PARTNER",,,"1000","34601000","Ethno-Religious","413"
"346","BOS","Bosnia and Herzegovina","Yes","1996","2010","Serbs","0.371","SENIOR PARTNER",,,"2000","34602000","Ethno-Religious","414"
"346","BOS","Bosnia and Herzegovina","Yes","1996","2010","Croats","0.143","SENIOR PARTNER",,,"3000","34603000","Ethno-Religious","415"
"346","BOS","Bosnia and Herzegovina","Yes","1996","2010","Roma","0.01","DISCRIMINATED",,,"4000","34604000","Ethno-Cultural","416"
"347","KOS","Kosovo","Yes","2008","2010","Albanians","0.88","SENIOR PARTNER",,,"1000","34701000","Ethno-Linguistic","417"
"347","KOS","Kosovo","Yes","2008","2010","Serbs","0.07","SEPARATIST AUTONOMY",,,"2000","34702000","Mixed Category","418"
"347","KOS","Kosovo","Yes","2008","2010","Bosniaks/Muslims","0.019","JUNIOR PARTNER",,,"3000","34703000","Mixed Category","419"
"347","KOS","Kosovo","Yes","2008","2010","Romas","0.017","DISCRIMINATED",,,"4000","34704000","Ethno-Cultural","420"
"347","KOS","Kosovo","Yes","2008","2010","Turks","0.01","JUNIOR PARTNER",,,"5000","34705000","Mixed Category","421"
"349","SLV","Slovenia","Yes","1992","2010","Slovenes","0.831","DOMINANT",,,"1000","34901000","Ethno-Linguistic","422"
"349","SLV","Slovenia","Yes","1992","2010","Serbs","0.02","DISCRIMINATED",,,"2000","34902000","Ethno-Linguistic","423"
"349","SLV","Slovenia","Yes","1992","2010","Croats","0.018","DISCRIMINATED",,,"3000","34903000","Ethno-Linguistic","424"
"349","SLV","Slovenia","Yes","1992","2010","Bosniaks","0.011","DISCRIMINATED",,,"4000","34904000","Ethno-Linguistic","425"
"349","SLV","Slovenia","Yes","1992","2010","Hungarians","0.0032","POWERLESS",,,"5000","34905000","Ethno-Linguistic","426"
"349","SLV","Slovenia","Yes","1992","2010","Italians","0.0011","POWERLESS",,,"6000","34906000","Ethno-Linguistic","427"
"350","GRC","Greece","Yes","1946","2010","Greeks","0.97","MONOPOLY",,,"1000","35001000","Ethno-Linguistic","428"
"350","GRC","Greece","Yes","1946","2010","Muslims","0.01","POWERLESS",,,"2000","35002000","Ethno-Religious","429"
"350","GRC","Greece","Yes","1946","2010","Roma","0.017","DISCRIMINATED",,,"3000","35003000","Ethno-Cultural","430"
"355","BUL","Bulgaria","Yes","1946","1989","Bulgarians","0.83","MONOPOLY",,,"1000","35501000","Mixed Category","431"
"355","BUL","Bulgaria","Yes","1946","1989","Turks","0.1","DISCRIMINATED",,,"2000","35502000","Mixed Category","432"
"355","BUL","Bulgaria","Yes","1946","1989","Roma","0.05","DISCRIMINATED",,,"3000","35503000","Ethno-Cultural","433"
"355","BUL","Bulgaria","Yes","1946","1989","Pomaks","0.017","DISCRIMINATED",,,"4000","35504000","Ethno-Religious","434"
"355","BUL","Bulgaria","Yes","1990","1991","Bulgarians","0.83","MONOPOLY",,,"1000","35501000","Mixed Category","435"
"355","BUL","Bulgaria","Yes","1990","1991","Turks","0.1","POWERLESS",,,"2000","35502000","Mixed Category","436"
"355","BUL","Bulgaria","Yes","1990","1991","Roma","0.05","DISCRIMINATED",,,"3000","35503000","Ethno-Cultural","437"
"355","BUL","Bulgaria","Yes","1990","1991","Pomaks","0.017","POWERLESS",,,"4000","35504000","Ethno-Religious","438"
"355","BUL","Bulgaria","Yes","1992","2010","Bulgarians","0.83","SENIOR PARTNER",,,"1000","35501000","Mixed Category","439"
"355","BUL","Bulgaria","Yes","1992","2010","Turks","0.094","JUNIOR PARTNER",,,"2000","35502000","Mixed Category","440"
"355","BUL","Bulgaria","Yes","1992","2010","Roma","0.05","DISCRIMINATED",,,"3000","35503000","Ethno-Cultural","441"
"355","BUL","Bulgaria","Yes","1992","2010","Pomaks","0.017","IRRELEVANT",,,"4000","35504000","Ethno-Religious","442"
"359","MLD","Moldova","Yes","1991","2000","Moldovans","0.67","DOMINANT",,,"1000","35901000","Ethno-Linguistic","443"
"359","MLD","Moldova","Yes","1991","2000","Transnistrians","0.14","SEPARATIST AUTONOMY","30100",,"2000","35902000","Ethno-Regional","444"
"359","MLD","Moldova","Yes","1991","2000","Russian speakers","0.123","POWERLESS",,,"3000","35903000","Ethno-Linguistic","445"
"359","MLD","Moldova","Yes","1991","2000","Gagauz","0.037","REGIONAL AUTONOMY",,,"4000","35904000","Ethno-Linguistic","446"
"359","MLD","Moldova","Yes","1991","2000","Bulgarians","0.017","POWERLESS",,,"5000","35905000","Ethno-Linguistic","447"
"359","MLD","Moldova","Yes","2001","2010","Moldovans","0.67","SENIOR PARTNER",,,"1000","35901000","Ethno-Linguistic","448"
"359","MLD","Moldova","Yes","2001","2010","Transnistrians","0.14","SEPARATIST AUTONOMY",,,"2000","35902000","Ethno-Regional","449"
"359","MLD","Moldova","Yes","2001","2010","Russian speakers","0.123","JUNIOR PARTNER",,,"3000","35903000","Ethno-Linguistic","450"
"359","MLD","Moldova","Yes","2001","2010","Gagauz","0.037","REGIONAL AUTONOMY",,,"4000","35904000","Ethno-Linguistic","451"
"359","MLD","Moldova","Yes","2001","2010","Bulgarians","0.017","POWERLESS",,,"5000","35905000","Ethno-Linguistic","452"
"360","ROM","Romania","Yes","1946","1988","Romanians","0.895","DOMINANT",,,"1000","36001000","Ethno-Linguistic","453"
"360","ROM","Romania","Yes","1946","1988","Hungarians","0.066","DISCRIMINATED",,,"2000","36002000","Ethno-Linguistic","454"
"360","ROM","Romania","Yes","1946","1988","Roma","0.025","DISCRIMINATED",,,"3000","36003000","Ethno-Cultural","455"
"360","ROM","Romania","Yes","1946","1988","Germans","0.002","DISCRIMINATED",,,"4000","36004000","Ethno-Linguistic","456"
"360","ROM","Romania","Yes","1989","1995","Romanians","0.895","DOMINANT",,,"1000","36001000","Ethno-Linguistic","457"
"360","ROM","Romania","Yes","1989","1995","Hungarians","0.066","REGIONAL AUTONOMY",,,"2000","36002000","Ethno-Linguistic","458"
"360","ROM","Romania","Yes","1989","1995","Roma","0.025","DISCRIMINATED",,,"3000","36003000","Ethno-Cultural","459"
"360","ROM","Romania","Yes","1989","1995","Germans","0.002","POWERLESS",,,"4000","36004000","Ethno-Linguistic","460"
"360","ROM","Romania","Yes","1996","2010","Romanians","0.895","SENIOR PARTNER",,,"1000","36001000","Ethno-Linguistic","461"
"360","ROM","Romania","Yes","1996","2010","Hungarians","0.066","JUNIOR PARTNER",,,"2000","36002000","Ethno-Linguistic","462"
"360","ROM","Romania","Yes","1996","2010","Roma","0.025","DISCRIMINATED",,,"3000","36003000","Ethno-Cultural","463"
"360","ROM","Romania","Yes","1996","2010","Germans","0.002","POWERLESS",,,"4000","36004000","Ethno-Linguistic","464"
"365","RUS","Russia","Yes","1946","1956","Abkhaz","3-04","REGIONAL AUTONOMY",,,"46000","36546000","Ethno-Linguistic","465"
"365","RUS","Russia","Yes","1946","1956","Adyghe","4-04","REGIONAL AUTONOMY",,,"40000","36540000","Ethno-Linguistic","466"
"365","RUS","Russia","Yes","1946","1956","Altai","2-04","REGIONAL AUTONOMY",,,"47000","36547000","Ethno-Linguistic","467"
"365","RUS","Russia","Yes","1946","1956","Armenians","0.01","REGIONAL AUTONOMY",,,"8000","36508000","Mixed Category","468"
"365","RUS","Russia","Yes","1946","1956","Avars","0.001","REGIONAL AUTONOMY",,,"23000","36523000","Ethno-Linguistic","469"
"365","RUS","Russia","Yes","1946","1956","Azerbaijanis","0.01","REGIONAL AUTONOMY",,,"9000","36509000","Ethno-Linguistic","470"
"365","RUS","Russia","Yes","1946","1956","Balkars","2-04","DISCRIMINATED",,,"43000","36543000","Ethno-Linguistic","471"
"365","RUS","Russia","Yes","1946","1956","Bashkirs","0.005","REGIONAL AUTONOMY",,,"7000","36507000","Ethno-Linguistic","472"
"365","RUS","Russia","Yes","1946","1956","Buryats","0.001","REGIONAL AUTONOMY",,,"32000","36532000","Ethno-Linguistic","473"
"365","RUS","Russia","Yes","1946","1956","Byelorussians","0.03","REGIONAL AUTONOMY",,,"4000","36504000","Ethno-Linguistic","474"
"365","RUS","Russia","Yes","1946","1956","Chechens","0.002","DISCRIMINATED",,,"16000","36516000","Ethno-Linguistic","475"
"365","RUS","Russia","Yes","1946","1956","Chukchi","1-04","IRRELEVANT",,,"48000","36548000","Ethno-Linguistic","476"
"365","RUS","Russia","Yes","1946","1956","Chuvashes","0.007","REGIONAL AUTONOMY",,,"6000","36506000","Ethno-Linguistic","477"
"365","RUS","Russia","Yes","1946","1956","Cherkess","4-04","REGIONAL AUTONOMY",,,"44000","36544000","Ethno-Linguistic","478"
"365","RUS","Russia","Yes","1946","1956","Crimean Tatars","1-04","DISCRIMINATED",,,"49000","36549000","Ethno-Linguistic","479"
"365","RUS","Russia","Yes","1946","1956","Dargins","0.001","REGIONAL AUTONOMY",,,"26000","36526000","Ethno-Linguistic","480"
"365","RUS","Russia","Yes","1946","1956","Estonians","0.005","DISCRIMINATED","11100",,"24000","36524000","Ethno-Linguistic","481"
"365","RUS","Russia","Yes","1946","1956","Finns","4-04","REGIONAL AUTONOMY",,,"50000","36550000","Ethno-Linguistic","482"
"365","RUS","Russia","Yes","1946","1956","Gagauz","0.001","POWERLESS",,,"51000","36551000","Ethno-Linguistic","483"
"365","RUS","Russia","Yes","1946","1956","Georgians","0.01","REGIONAL AUTONOMY",,,"10000","36510000","Ethno-Linguistic","484"
"365","RUS","Russia","Yes","1946","1956","Germans","0.008","DISCRIMINATED",,,"17000","36517000","Ethno-Linguistic","485"
"365","RUS","Russia","Yes","1946","1956","Ingush","0.001","DISCRIMINATED",,,"33000","36533000","Ethno-Linguistic","486"
"365","RUS","Russia","Yes","1946","1956","Jews","0.01","DISCRIMINATED",,,"11000","36511000","Ethno-Religious","487"
"365","RUS","Russia","Yes","1946","1956","Kabardins","0.001","REGIONAL AUTONOMY",,,"28000","36528000","Mixed Category","488"
"365","RUS","Russia","Yes","1946","1956","Kalmyks","0.001","DISCRIMINATED",,,"53000","36553000","Ethno-Linguistic","489"
"365","RUS","Russia","Yes","1946","1956","Karachai","4-04","DISCRIMINATED",,,"54000","36554000","Ethno-Linguistic","490"
"365","RUS","Russia","Yes","1946","1956","Karakalpaks","0.001","REGIONAL AUTONOMY",,,"55000","36555000","Ethno-Linguistic","491"
"365","RUS","Russia","Yes","1946","1956","Karelians","0.001","REGIONAL AUTONOMY",,,"56000","36556000","Ethno-Linguistic","492"
"365","RUS","Russia","Yes","1946","1956","Kazakhs","0.01","REGIONAL AUTONOMY",,,"12000","36512000","Ethno-Linguistic","493"
"365","RUS","Russia","Yes","1946","1956","Khakass","3-04","REGIONAL AUTONOMY",,,"57000","36557000","Ethno-Linguistic","494"
"365","RUS","Russia","Yes","1946","1956","Kirghis","0.005","REGIONAL AUTONOMY",,,"22000","36522000","Ethno-Linguistic","495"
"365","RUS","Russia","Yes","1946","1956","Komi","0.001","REGIONAL AUTONOMY",,,"37000","36537000","Ethno-Linguistic","496"
"365","RUS","Russia","Yes","1946","1956","Komi-Permyaks","0.001","POWERLESS",,,"58000","36558000","Ethno-Linguistic","497"
"365","RUS","Russia","Yes","1946","1956","Koreans","0.002","DISCRIMINATED",,,"38000","36538000","Ethno-Linguistic","498"
"365","RUS","Russia","Yes","1946","1956","Kumyks","0.001","REGIONAL AUTONOMY",,,"34000","36534000","Ethno-Linguistic","499"
"365","RUS","Russia","Yes","1946","1956","Laks","3-04","POWERLESS",,,"59000","36559000","Ethno-Linguistic","500"
"365","RUS","Russia","Yes","1946","1956","Latvians","0.006","DISCRIMINATED","11200",,"21000","36521000","Ethno-Linguistic","501"
"365","RUS","Russia","Yes","1946","1956","Lezgins","0.001","REGIONAL AUTONOMY",,,"35000","36535000","Ethno-Linguistic","502"
"365","RUS","Russia","Yes","1946","1956","Lithuanians","0.01","DISCRIMINATED","11300",,"13000","36513000","Ethno-Linguistic","503"
"365","RUS","Russia","Yes","1946","1956","Mari","0.002","REGIONAL AUTONOMY",,,"29000","36529000","Ethno-Religious","504"
"365","RUS","Russia","Yes","1946","1956","Moldovans","0.01","REGIONAL AUTONOMY",,,"14000","36514000","Ethno-Linguistic","505"
"365","RUS","Russia","Yes","1946","1956","Mordva","0.006","REGIONAL AUTONOMY",,,"20000","36520000","Ethno-Linguistic","506"
"365","RUS","Russia","Yes","1946","1956","Nogai","2-04","POWERLESS",,,"61000","36561000","Ethno-Linguistic","507"
"365","RUS","Russia","Yes","1946","1956","Ossetes","0.002","REGIONAL AUTONOMY",,,"27000","36527000","Ethno-Linguistic","508"
"365","RUS","Russia","Yes","1946","1956","Pamir Tajiks","2-04","POWERLESS",,,"63000","36563000","Ethno-Religious","509"
"365","RUS","Russia","Yes","1946","1956","Poles","0.007","DISCRIMINATED",,,"18000","36518000","Ethno-Linguistic","510"
"365","RUS","Russia","Yes","1946","1956","Roma","0.001","DISCRIMINATED",,,"52000","36552000","Ethno-Linguistic","511"
"365","RUS","Russia","Yes","1946","1956","Russians","0.54","SENIOR PARTNER",,,"1000","36501000","Ethno-Linguistic","512"
"365","RUS","Russia","Yes","1946","1956","Tabasarans","2-04","POWERLESS",,,"65000","36565000","Ethno-Linguistic","513"
"365","RUS","Russia","Yes","1946","1956","Tajiks","0.007","REGIONAL AUTONOMY",,,"19000","36519000","Ethno-Linguistic","514"
"365","RUS","Russia","Yes","1946","1956","Volga Tatars","0.02","REGIONAL AUTONOMY",,,"3000","36503000","Ethno-Linguistic","515"
"365","RUS","Russia","Yes","1946","1956","Turkmens","0.005","REGIONAL AUTONOMY",,,"25000","36525000","Ethno-Linguistic","516"
"365","RUS","Russia","Yes","1946","1956","Tuvinians","5-04","REGIONAL AUTONOMY",,,"39000","36539000","Ethno-Linguistic","517"
"365","RUS","Russia","Yes","1946","1956","Udmurt","0.003","REGIONAL AUTONOMY",,,"30000","36530000","Ethno-Linguistic","518"
"365","RUS","Russia","Yes","1946","1956","Uighurs","5-04","POWERLESS",,,"66000","36566000","Ethno-Linguistic","519"
"365","RUS","Russia","Yes","1946","1956","Ukrainians","0.17","JUNIOR PARTNER","11400",,"2000","36502000","Ethno-Linguistic","520"
"365","RUS","Russia","Yes","1946","1956","Uzbeks","0.02","REGIONAL AUTONOMY",,,"5000","36505000","Ethno-Linguistic","521"
"365","RUS","Russia","Yes","1946","1956","Yakuts","0.001","REGIONAL AUTONOMY",,,"36000","36536000","Ethno-Linguistic","522"
"365","RUS","Russia","Yes","1957","1990","Abkhaz","3-04","REGIONAL AUTONOMY",,,"46000","36546000","Ethno-Linguistic","523"
"365","RUS","Russia","Yes","1957","1990","Adyghe","4-04","REGIONAL AUTONOMY",,,"40000","36540000","Ethno-Linguistic","524"
"365","RUS","Russia","Yes","1957","1990","Altai","2-04","REGIONAL AUTONOMY",,,"47000","36547000","Ethno-Linguistic","525"
"365","RUS","Russia","Yes","1957","1990","Armenians","0.01","REGIONAL AUTONOMY","28300",,"8000","36508000","Mixed Category","526"
"365","RUS","Russia","Yes","1957","1990","Avars","0.001","REGIONAL AUTONOMY",,,"23000","36523000","Ethno-Linguistic","527"
"365","RUS","Russia","Yes","1957","1990","Azerbaijanis","0.01","REGIONAL AUTONOMY","28400",,"9000","36509000","Ethno-Linguistic","528"
"365","RUS","Russia","Yes","1957","1990","Balkars","2-04","REGIONAL AUTONOMY",,,"43000","36543000","Ethno-Linguistic","529"
"365","RUS","Russia","Yes","1957","1990","Bashkirs","0.005","REGIONAL AUTONOMY",,,"7000","36507000","Ethno-Linguistic","530"
"365","RUS","Russia","Yes","1957","1990","Buryats","0.001","REGIONAL AUTONOMY",,,"32000","36532000","Ethno-Linguistic","531"
"365","RUS","Russia","Yes","1957","1990","Byelorussians","0.03","REGIONAL AUTONOMY",,,"4000","36504000","Ethno-Linguistic","532"
"365","RUS","Russia","Yes","1957","1990","Chechens","0.002","REGIONAL AUTONOMY",,,"16000","36516000","Ethno-Linguistic","533"
"365","RUS","Russia","Yes","1957","1990","Chukchi","1-04","IRRELEVANT",,,"48000","36548000","Ethno-Linguistic","534"
"365","RUS","Russia","Yes","1957","1990","Chuvashes","0.007","REGIONAL AUTONOMY",,,"6000","36506000","Ethno-Linguistic","535"
"365","RUS","Russia","Yes","1957","1990","Cherkess","0.001","REGIONAL AUTONOMY",,,"44000","36544000","Mixed Category","536"
"365","RUS","Russia","Yes","1957","1990","Crimean Tatars","1-04","DISCRIMINATED",,,"49000","36549000","Ethno-Linguistic","537"
"365","RUS","Russia","Yes","1957","1990","Dargins","0.001","REGIONAL AUTONOMY",,,"26000","36526000","Ethno-Linguistic","538"
"365","RUS","Russia","Yes","1957","1990","Estonians","0.005","REGIONAL AUTONOMY",,,"24000","36524000","Ethno-Linguistic","539"
"365","RUS","Russia","Yes","1957","1990","Finns","4-04","POWERLESS",,,"50000","36550000","Ethno-Linguistic","540"
"365","RUS","Russia","Yes","1957","1990","Gagauz","0.001","POWERLESS",,,"51000","36551000","Ethno-Linguistic","541"
"365","RUS","Russia","Yes","1957","1990","Georgians","0.01","REGIONAL AUTONOMY",,,"10000","36510000","Ethno-Linguistic","542"
"365","RUS","Russia","Yes","1957","1990","Germans","0.008","DISCRIMINATED",,,"17000","36517000","Ethno-Linguistic","543"
"365","RUS","Russia","Yes","1957","1990","Ingush","0.001","REGIONAL AUTONOMY",,,"33000","36533000","Ethno-Linguistic","544"
"365","RUS","Russia","Yes","1957","1990","Jews","0.01","DISCRIMINATED",,,"11000","36511000","Ethno-Religious","545"
"365","RUS","Russia","Yes","1957","1990","Kabardins","0.001","REGIONAL AUTONOMY",,,"28000","36528000","Mixed Category","546"
"365","RUS","Russia","Yes","1957","1990","Kalmyks","0.001","REGIONAL AUTONOMY",,,"53000","36553000","Ethno-Linguistic","547"
"365","RUS","Russia","Yes","1957","1990","Karachai","4-04","REGIONAL AUTONOMY",,,"54000","36554000","Ethno-Linguistic","548"
"365","RUS","Russia","Yes","1957","1990","Karakalpaks","0.001","REGIONAL AUTONOMY",,,"55000","36555000","Ethno-Linguistic","549"
"365","RUS","Russia","Yes","1957","1990","Karelians","0.001","REGIONAL AUTONOMY",,,"56000","36556000","Ethno-Linguistic","550"
"365","RUS","Russia","Yes","1957","1990","Kazakhs","0.01","REGIONAL AUTONOMY",,,"12000","36512000","Ethno-Linguistic","551"
"365","RUS","Russia","Yes","1957","1990","Khakass","3-04","REGIONAL AUTONOMY",,,"57000","36557000","Ethno-Linguistic","552"
"365","RUS","Russia","Yes","1957","1990","Kirghis","0.005","REGIONAL AUTONOMY",,,"22000","36522000","Ethno-Linguistic","553"
"365","RUS","Russia","Yes","1957","1990","Komi","0.001","REGIONAL AUTONOMY",,,"37000","36537000","Ethno-Linguistic","554"
"365","RUS","Russia","Yes","1957","1990","Komi-Permyaks","0.001","POWERLESS",,,"58000","36558000","Ethno-Linguistic","555"
"365","RUS","Russia","Yes","1957","1990","Koreans","0.002","DISCRIMINATED",,,"38000","36538000","Ethno-Linguistic","556"
"365","RUS","Russia","Yes","1957","1990","Kumyks","0.001","REGIONAL AUTONOMY",,,"34000","36534000","Ethno-Linguistic","557"
"365","RUS","Russia","Yes","1957","1990","Laks","3-04","POWERLESS",,,"59000","36559000","Ethno-Linguistic","558"
"365","RUS","Russia","Yes","1957","1990","Latvians","0.006","REGIONAL AUTONOMY",,,"21000","36521000","Ethno-Linguistic","559"
"365","RUS","Russia","Yes","1957","1990","Lezgins","0.001","REGIONAL AUTONOMY",,,"35000","36535000","Ethno-Linguistic","560"
"365","RUS","Russia","Yes","1957","1990","Lithuanians","0.01","REGIONAL AUTONOMY",,,"13000","36513000","Ethno-Linguistic","561"
"365","RUS","Russia","Yes","1957","1990","Mari","0.002","REGIONAL AUTONOMY",,,"29000","36529000","Ethno-Religious","562"
"365","RUS","Russia","Yes","1957","1990","Moldovans","0.01","REGIONAL AUTONOMY",,,"14000","36514000","Ethno-Linguistic","563"
"365","RUS","Russia","Yes","1957","1990","Mordva","0.006","REGIONAL AUTONOMY",,,"20000","36520000","Ethno-Linguistic","564"
"365","RUS","Russia","Yes","1957","1990","Nogai","2-04","POWERLESS",,,"61000","36561000","Ethno-Linguistic","565"
"365","RUS","Russia","Yes","1957","1990","Ossetes","0.002","REGIONAL AUTONOMY",,,"27000","36527000","Ethno-Linguistic","566"
"365","RUS","Russia","Yes","1957","1990","Pamir Tajiks","2-04","POWERLESS",,,"63000","36563000","Ethno-Religious","567"
"365","RUS","Russia","Yes","1957","1990","Poles","0.007","POWERLESS",,,"18000","36518000","Ethno-Linguistic","568"
"365","RUS","Russia","Yes","1957","1990","Roma","0.001","DISCRIMINATED",,,"52000","36552000","Ethno-Linguistic","569"
"365","RUS","Russia","Yes","1957","1990","Russians","0.54","SENIOR PARTNER",,,"1000","36501000","Ethno-Linguistic","570"
"365","RUS","Russia","Yes","1957","1990","Tabasarans","2-04","POWERLESS",,,"65000","36565000","Ethno-Linguistic","571"
"365","RUS","Russia","Yes","1957","1990","Tajiks","0.007","REGIONAL AUTONOMY",,,"19000","36519000","Ethno-Linguistic","572"
"365","RUS","Russia","Yes","1957","1990","Volga Tatars","0.02","REGIONAL AUTONOMY",,,"3000","36503000","Ethno-Linguistic","573"
"365","RUS","Russia","Yes","1957","1990","Turkmens","0.005","REGIONAL AUTONOMY",,,"25000","36525000","Ethno-Linguistic","574"
"365","RUS","Russia","Yes","1957","1990","Tuvinians","5-04","REGIONAL AUTONOMY",,,"39000","36539000","Ethno-Linguistic","575"
"365","RUS","Russia","Yes","1957","1990","Udmurt","0.003","REGIONAL AUTONOMY",,,"30000","36530000","Ethno-Linguistic","576"
"365","RUS","Russia","Yes","1957","1990","Uighurs","5-04","POWERLESS",,,"66000","36566000","Ethno-Linguistic","577"
"365","RUS","Russia","Yes","1957","1990","Ukrainians","0.17","JUNIOR PARTNER",,,"2000","36502000","Ethno-Linguistic","578"
"365","RUS","Russia","Yes","1957","1990","Uzbeks","0.02","REGIONAL AUTONOMY",,,"5000","36505000","Ethno-Linguistic","579"
"365","RUS","Russia","Yes","1957","1990","Yakuts","0.001","REGIONAL AUTONOMY",,,"36000","36536000","Ethno-Linguistic","580"
"365","RUS","Russia","Yes","1991","2002","Adyghe","0.001","REGIONAL AUTONOMY",,,"40000","36540000","Ethno-Linguistic","581"
"365","RUS","Russia","Yes","1991","2002","Altai","0.001","REGIONAL AUTONOMY",,,"47000","36547000","Ethno-Linguistic","582"
"365","RUS","Russia","Yes","1991","2002","Avars","0.006","REGIONAL AUTONOMY",,,"23000","36523000","Ethno-Linguistic","583"
"365","RUS","Russia","Yes","1991","2002","Azerbaijanis","0.004","POWERLESS",,,"9000","36509000","Ethno-Linguistic","584"
"365","RUS","Russia","Yes","1991","2002","Balkars","0.001","POWERLESS",,,"43000","36543000","Ethno-Linguistic","585"
"365","RUS","Russia","Yes","1991","2002","Bashkirs","0.012","REGIONAL AUTONOMY",,,"7000","36507000","Ethno-Linguistic","586"
"365","RUS","Russia","Yes","1991","2002","Buryats","0.003","REGIONAL AUTONOMY",,,"32000","36532000","Ethno-Linguistic","587"
"365","RUS","Russia","Yes","1991","2002","Byelorussians","0.006","IRRELEVANT",,,"4000","36504000","Ethno-Linguistic","588"
"365","RUS","Russia","Yes","1991","2002","Chechens","0.009","SEPARATIST AUTONOMY","30900",,"16000","36516000","Ethno-Linguistic","589"
"365","RUS","Russia","Yes","1991","2002","Chukchi","1-04","REGIONAL AUTONOMY",,,"48000","36548000","Ethno-Linguistic","590"
"365","RUS","Russia","Yes","1991","2002","Chuvashes","0.013","REGIONAL AUTONOMY",,,"6000","36506000","Ethno-Linguistic","591"
"365","RUS","Russia","Yes","1991","2002","Cherkess","4-04","POWERLESS",,,"44000","36544000","Mixed Category","592"
"365","RUS","Russia","Yes","1991","2002","Dargins","0.004","REGIONAL AUTONOMY",,,"26000","36526000","Ethno-Linguistic","593"
"365","RUS","Russia","Yes","1991","2002","Finns","4-04","IRRELEVANT",,,"50000","36550000","Ethno-Linguistic","594"
